pmcid,title,abstract,publication_date,keywords,journal,doi,author
29699570,Patenting human genes: Chinese academic articles' portrayal of gene patents.,"The patenting of human genes has been the subject of debate for decades. While China has gradually come to play an important role in the global genomics-based testing and treatment market, little is known about Chinese scholars' perspectives on patent protection for human genes.",2019-02-25,"Attitude, Bioethics, China, Cost-Benefit Analysis, Delivery of Health Care, Genes, Genome, Human, Humanities, Humans, Jurisprudence, Patents as Topic, Policy, Public Health",BMC Med Ethics,,Du
31200580,Selection of Suitable Reference Genes for RT-qPCR Gene Expression Analysis in Siberian Wild Rye (,,2019-12-25,"Elymus, Gene Expression Profiling, Gene Expression Regulation, Plant, Plant Proteins, Real-Time Polymerase Chain Reaction, Reference Standards, Siberia, Stress, Physiological",Genes (Basel),,Zhang
32408659,Weighted Gene Correlation Network Meta-Analysis Reveals Functional Candidate Genes Associated with High- and Sub-Fertile Reproductive Performance in Beef Cattle.,"Improved reproductive efficiency could lead to economic benefits for the beef industry, once the intensive selection pressure has led to a decreased fertility. However, several factors limit our understanding of fertility traits, including genetic differences between populations and statistical limitations. In the present study, the RNA-sequencing data from uterine samples of high-fertile (HF) and sub-fertile (SF) animals was integrated using co-expression network meta-analysis, weighted gene correlation network analysis, identification of upstream regulators, variant calling, and network topology approaches. Using this pipeline, top hub-genes harboring fixed variants (HF × SF) were identified in differentially co-expressed gene modules (DcoExp). The functional prioritization analysis identified the genes with highest potential to be key-regulators of the DcoExp modules between HF and SF animals. Consequently, 32 functional candidate genes (10 upstream regulators and 22 top hub-genes of DcoExp modules) were identified. These genes were associated with the regulation of relevant biological processes for fertility, such as embryonic development, germ cell proliferation, and ovarian hormone regulation. Additionally, 100 candidate variants (single nucleotide polymorphisms (SNPs) and insertions and deletions (INDELs)) were identified within those genes. In the long-term, the results obtained here may help to reduce the frequency of subfertility in beef herds, reducing the associated economic losses caused by this condition.",,,Genes (Basel),,Fonseca
26778241,Validation of housekeeping genes as an internal control for gene expression studies in Giardia lamblia using quantitative real-time PCR.,"The analysis of transcript levels of specific genes is important for understanding transcriptional regulation and for the characterization of gene function. Real-time quantitative reverse transcriptase PCR (RT-qPCR) has become a powerful tool to quantify gene expression. The objective of this study was to identify reliable housekeeping genes in Giardia lamblia. Twelve genes were selected for this purpose, and their expression was analyzed in the wild type WB strain and in two strains with resistance to nitazoxanide (NTZ) and metronidazole (MTZ), respectively. RefFinder software analysis showed that the expression of the genes is different in the three strains. The integrated data from the four analyses showed that the NADH oxidase (NADH) and aldolase (ALD) genes were the most steadily expressed genes, whereas the glyceraldehyde-3-phosphate dehydrogenase gene was the most unstable. Additionally, the relative expression of seven genes were quantified in the NTZ- and MTZ-resistant strains by RT-qPCR, using the aldolase gene as the internal control, and the results showed a consistent differential pattern of expression in both strains. The housekeeping genes found in this work will facilitate the analysis of mRNA expression levels of other genes of interest in G. lamblia.",2016-07-12,"Animals, Antiprotozoal Agents, DNA Primers, Gene Expression Regulation, Genes, Essential, Giardia lamblia, Metronidazole, Real-Time Polymerase Chain Reaction, Thiazoles",Gene,10.1016/j.gene.2016.01.018,Marcial-Quino
30836711,Identification of Reference Genes for Quantitative Gene Expression Studies in Three Tissues of Japanese Quail.,"RT-qPCR is the gold standard for candidate gene expression analysis. However, the interpretation of RT-qPCR results depends on the proper use of internal controls, i.e., reference genes. Japanese quail is an agronomic species also used as a laboratory model, but little is known about RT-qPCR reference genes for this species. Thus, we investigated 10 putative reference genes (",2019-12-27,"Algorithms, Animals, Avian Proteins, Brain, Coturnix, Cyclin H, Female, Gene Expression Profiling, Gene Expression Regulation, Male, Muscle, Skeletal, Organ Specificity, Real-Time Polymerase Chain Reaction, Reference Standards, Ribosomal Proteins",Genes (Basel),,Vitorino Carvalho
31054562,Developmental transcriptomics of Chinese cordyceps reveals gene regulatory network and expression profiles of sexual development-related genes.,"Chinese cordyceps, also known as Chinese caterpillar fungus (Ophiocordyceps sinensis, syn. Cordyceps sinensis), is of particular interest for its cryptic life cycle and economic and ecological importance. The large-scale artificial cultivation was succeeded recently after several decades of efforts and attempts. However, the induction of primordium, sexual development of O. sinensis and the molecular basis of its lifestyle still remain cryptic.",2019-09-06,"Cordyceps, Fruiting Bodies, Fungal, Gene Expression Regulation, Developmental, Gene Expression Regulation, Fungal, Gene Regulatory Networks, Genes, Mating Type, Fungal, Sexual Development, Transcriptome",BMC Genomics,,Li
31187122,Rapid Evolution of Gained Essential Developmental Functions of a Young Gene via Interactions with Other Essential Genes.,"New genes are of recent origin and only present in a subset of species in a phylogeny. Accumulated evidence suggests that new genes, like old genes that are conserved across species, can also take on important functions and be essential for the survival and reproductive success of organisms. Although there are detailed analyses of the mechanisms underlying new genes' gaining fertility functions, how new genes rapidly become essential for viability remains unclear. We focused on a young retro-duplicated gene (CG7804, which we named Cocoon) in Drosophila that originated between 4 and 10 Ma. We found that, unlike its evolutionarily conserved parental gene, Cocoon has evolved under positive selection and accumulated many amino acid differences at functional sites from the parental gene. Despite its young age, Cocoon is essential for the survival of Drosophila melanogaster at multiple developmental stages, including the critical embryonic stage, and its expression is essential in different tissues from those of its parental gene. Functional genomic analyses found that Cocoon acquired unique DNA-binding sites and has a contrasting effect on gene expression to that of its parental gene. Importantly, Cocoon binding predominantly locates at genes that have other essential functions and/or have multiple gene-gene interactions, suggesting that Cocoon acquired novel essential function to survival through forming interactions that have large impacts on the gene interaction network. Our study is an important step toward deciphering the evolutionary trajectory by which new genes functionally diverge from parental genes and become essential.",2020-01-06,"Amino Acid Substitution, Animals, DNA-Binding Proteins, Drosophila Proteins, Drosophila melanogaster, Evolution, Molecular, Gene Duplication, Gene Expression Regulation, Developmental, Gene Regulatory Networks, Genes, Essential",Mol Biol Evol,,Lee
30795793,Combined analysis of dissimilar promoter accessibility and gene expression profiles identifies tissue-specific genes and actively repressed networks.,"The assay for transposase-accessible chromatin (ATAC-seq) is a powerful method to examine chromatin accessibility. While many studies have reported a positive correlation between gene expression and promoter accessibility, few have investigated the genes that deviate from this trend. In this study, we aimed to understand the relationship between gene expression and promoter accessibility in multiple cell types while also identifying gene regulatory networks in the placenta, an understudied organ that is critical for a successful pregnancy.",2019-03-15,"Animals, Chromatin Assembly and Disassembly, Female, Gene Expression Profiling, Gene Regulatory Networks, Histone Code, Mice, Neurons, Organ Specificity, Placenta, Pregnancy, Promoter Regions, Genetic, RNA, Messenger",Epigenetics Chromatin,,Starks
31111371,Validation of suitable reference genes for quantitative gene expression analysis in Tripterygium wilfordii.,"Validation of suitable reference genes is critical in quantitative real-time polymerase chain reaction (qRT-PCR) analysis. Suitable and reliable reference genes for the normalization of gene expression data are characterized by high gene expression stability across tissues and different experimental conditions. This study evaluated the gene expression stability of ten reference genes commonly used in Arabidopsis thaliana for their suitability in qRT-PCR analysis in Tripterygium wilfordii Hook.f. The orthologous sequences of these ten candidate genes were identified from T. wilfordii transcriptomic data (Project No. SRX472292). Five algorithms including GeNorm, NormFinder, BestKeeper, ΔCt, and RefFinder were used to assess the gene expression stability of these putative reference genes in different plant tissues and different stress conditions. The results identified ACTINT7 and TBP as the most suitable reference genes across all samples. The gene expressions of TwHMGR (3-hydroxy-3-methylglutaryl coenzyme A reductase, KU246037.1) and of TwDXR (1-deoxy-D-xylulose-5-phosphate reductoisomerase, KJ174341.1) were investigated to validate the suitability of the reference genes. The validation analysis confirmed the suitability of ACTINT7 and TBP as the best reference genes for elucidating secondary metabolite biosynthesis pathway in T. wilfordii. In summary, this study identified the most suitable and reliable reference genes for future qRT-PCR- based studies in T. wilfordii.",2020-02-14,"Arabidopsis, Gene Expression Profiling, Gene Expression Regulation, Plant, Genes, Plant, Real-Time Polymerase Chain Reaction, Reference Standards, Transcriptome, Tripterygium",Mol Biol Rep,,Zhang
31251967,Validation of reference genes for quantitative gene expression analysis in Auricularia cornea.,"Auricularia cornea Ehrenb., previously named A. polytricha (Mont.) Sacc, has become one of the most widely cultivated mushrooms in China. Considerable research has been conducted on its cultivation, pathogen identification, proteomics, and more. However, to the best of our knowledge, no studies have been performed on reference-gene validation in this species. Formerly, reference genes were selected for their expression levels only relied upon from others species, owing to the fact that the gene stability in this species is unknown. In this study, nine candidate genes, including tubulin alpha-1A chain (TUBA1A), β-tubulin (Btu), phosphoglucomutase (Pgm), actin 1 (Act1), protein phosphatase 2A regulatory subunit (PP2A), polyubiquitin (UBQ), glyceraldehyde-3-phosphate dehydrogenase (Gapdh), 18S ribosomal protein (18S) and 28S ribosomal protein (28S), were evaluated among different strains and developmental stages. Four algorithms (i.e., geNorm, NormFinder, BestKeeper and RefFinder) were used to analyze candidate genes. The results revealed that UBQ was the most stable reference gene, while 18S was the least stable. Despite these results, the candidate genes were largely inadequate and only two were considered suitable. Based on candidate gene stability, PP2A and UBQ were identified as a set of usable interior control genes for future analyses in this species. This is the first systematic study conducted for selecting reference genes in A. cornea, and lays the foundation for identifying genes and quantifying gene expression in this species.",2020-06-15,"Agaricales, Gene Expression, Gene Expression Profiling, Genes, Fungal, Real-Time Polymerase Chain Reaction",J Microbiol Methods,10.1016/j.mimet.2019.105658,Jia
31023229,Genome-wide identification and analysis of the WUSCHEL-related homeobox (WOX) gene family in allotetraploid Brassica napus reveals changes in WOX genes during polyploidization.,"WUSCHEL-related homeobox (WOX) genes encoding plant-specific homeobox (HB) transcription factors play important roles in the growth and development of plants. To date, WOX genes has been identified and analyzed in many polyploids (such as cotton and tobacco), but the evolutionary analysis of them during polyploidization is rare. With the completion of genome sequencing, allotetraploid Brassica napus and its diploid progenitors (B. rapa and B. oleracea) are a good system for studying this question.",2019-08-13,"Brassica napus, Chromosome Mapping, DNA Transposable Elements, Diploidy, Gene Expression Regulation, Plant, Genome, Plant, Homeodomain Proteins, Multigene Family, Phylogeny, Polyploidy",BMC Genomics,,Li
30213125,Validation of Internal Control Genes for Quantitative Real-Time PCR Gene Expression Analysis in ,"The reliability of qRT-PCR results depend on the stability of reference genes used for normalization, suggesting the necessity of identification of reference genes before gene expression analysis. Morels are edible mushrooms well-known across the world and highly prized by many culinary kitchens. Here, several candidate genes were selected and designed according to the ",2018-12-11,"14-3-3 Proteins, Actins, Cyclins, Fungal Proteins, Gene Expression Profiling, Gene Expression Regulation, Developmental, Gene Expression Regulation, Fungal, Genes, Essential, Real-Time Polymerase Chain Reaction, Reference Standards, Reproducibility of Results, Saccharomycetales",Molecules,,Zhang
29458166,Statistical approach for selection of biologically informative genes.,"Selection of informative genes from high dimensional gene expression data has emerged as an important research area in genomics. Many gene selection techniques have been proposed so far are either based on relevancy or redundancy measure. Further, the performance of these techniques has been adjudged through post selection classification accuracy computed through a classifier using the selected genes. This performance metric may be statistically sound but may not be biologically relevant. A statistical approach, i.e. Boot-MRMR, was proposed based on a composite measure of maximum relevance and minimum redundancy, which is both statistically sound and biologically relevant for informative gene selection. For comparative evaluation of the proposed approach, we developed two biological sufficient criteria, i.e. Gene Set Enrichment with QTL (GSEQ) and biological similarity score based on Gene Ontology (GO). Further, a systematic and rigorous evaluation of the proposed technique with 12 existing gene selection techniques was carried out using five gene expression datasets. This evaluation was based on a broad spectrum of statistically sound (e.g. subject classification) and biological relevant (based on QTL and GO) criteria under a multiple criteria decision-making framework. The performance analysis showed that the proposed technique selects informative genes which are more biologically relevant. The proposed technique is also found to be quite competitive with the existing techniques with respect to subject classification and computational time. Our results also showed that under the multiple criteria decision-making setup, the proposed technique is best for informative gene selection over the available alternatives. Based on the proposed approach, an R Package, i.e. BootMRMR has been developed and available at https://cran.r-project.org/web/packages/BootMRMR. This study will provide a practical guide to select statistical techniques for selecting informative genes from high dimensional expression data for breeding and system biology studies.",2018-04-02,"Algorithms, Computational Biology, Data Interpretation, Statistical, Gene Expression Profiling, Gene Ontology, Genes, Genome, Human, Genomics, Humans, Oligonucleotide Array Sequence Analysis, Sample Size",Gene,10.1016/j.gene.2018.02.044,Das
30312370,Gene-specific metrics to facilitate identification of disease genes for molecular diagnosis in patient genomes: a systematic review.,"The evolution of next-generation sequencing technologies has facilitated the detection of causal genetic variants in diseases previously undiagnosed at a molecular level. However, in genome sequencing studies, the identification of disease genes among a candidate gene list is often difficult because of the large number of apparently damaging (but usually neutral) variants. A number of variant prioritization tools have been developed to help detect disease-causal sites. However, the results may be misleading as many variants scored as damaging by these tools are often tolerated, and there are inconsistencies in prediction results among the different variant-level prediction tools. Recently, studies have indicated that understanding gene properties might improve detection of genes liable to have associated disease variation and that this information improves molecular diagnostics. The purpose of this systematic review is to evaluate how understanding gene-specific properties might improve filtering strategies in clinical sequence data to prioritize potential disease variants. Improved understanding of the 'disease genome', which includes coding, noncoding and regulatory variation, might help resolve difficult cases. This review provides a comprehensive assessment of existing gene-level approaches, the relationships between measures of gene-pathogenicity and how use of these prediction tools can be developed for molecular diagnostics.",2020-01-03,"Disease, Disease Susceptibility, Early Diagnosis, Genes, Genetic Markers, Genome, Human, Humans",Brief Funct Genomics,10.1093/bfgp/ely033,Alyousfi
28390990,Selection of reference genes for gene expression studies in heart failure for left and right ventricles.,"Real-time quantitative reverse transcriptase-PCR (qRT-PCR) is a feasible tool for determining gene expression profiles, but the accuracy and reliability of the results depends on the stable expression of selected housekeeping genes in different samples. By far, researches on stable housekeeping genes in human heart failure samples are rare. Moreover the effect of heart failure on the expression of housekeeping genes in right and left ventricles is yet to be studied. Therefore we aim to provide stable housekeeping genes for both ventricles in heart failure and normal heart samples. In this study, we selected seven commonly used housekeeping genes as candidates. By using the qRT-PCR, the expression levels of ACTB, RAB7A, GAPDH, REEP5, RPL5, PSMB4 and VCP in eight heart failure and four normal heart samples were assessed. The stability of candidate housekeeping genes was evaluated by geNorm and Normfinder softwares. GAPDH showed the least variation in all heart samples. Results also indicated the difference of gene expression existed in heart failure left and right ventricles. GAPDH had the highest expression stability in both heart failure and normal heart samples. We also propose using different sets of housekeeping genes for left and right ventricles respectively. The combination of RPL5, GAPDH and PSMB4 is suitable for the right ventricle and the combination of GAPDH, REEP5 and RAB7A is suitable for the left ventricle.",2017-06-08,"Genes, Essential, Genetic Association Studies, Heart Failure, Heart Ventricles, Humans, Organ Specificity, Reference Values, Reverse Transcriptase Polymerase Chain Reaction",Gene,10.1016/j.gene.2017.04.006,Li
31385235,Selection of reliable reference genes for gene expression studies in Caenorhabditis elegans exposed to crystals (Cry1Ia36) protein of Bacillus thuringiensis.,"Quantitative real time PCR (qRT-PCR) is a nucleic acid quantitative technique and is also considered as a validation tool. The Cry1Ia36 protein isolated from Bacillus thuringiensis (Bt) strain YC-10 has high nematicidal activity against nematodes. Caenorhabditis elegans is one of the major model organisms and a readily accessible source of biological material for gene expression studies. To evaluate the expression stability of 12 candidate reference genes of C. elegans for exposing to different concentrations of Cry1Ia36 protein and different treat time, five statistical approaches (the comparative delta-Ct method, BestKeeper, NormFinder, Genorm and RefFinder) were used to evaluate each individual candidate reference gene. The results indicated that cdc-42 and F35G12.2 were the best reference genes for performing reliable gene expression normalization in the impact of Cry1Ia36 protein. In addition, when C. elegans was exposed to Cry1Ia36 protein and other nematicides, avermectin and 5-aminolevulinic acid, cdc-42 was recommended as the most reliable reference genes. Y45F10D.4 was the least stable reference genes in our experimental settings. Therefore, cdc-42 was reliable reference gene for gene expression studies in C. elegans exposed to Cry1Ia36 protein and other nematicides.",2020-05-01,"Animals, Bacterial Proteins, Caenorhabditis elegans, Caenorhabditis elegans Proteins, Endotoxins, Gene Expression, Genes, Helminth, Hemolysin Proteins, Real-Time Polymerase Chain Reaction",Mol Biol Rep,,Wang
31446531,Selection of reliable reference genes for gene expression analysis in seeds at different developmental stages and across various tissues in Paeonia ostii.,"Paeonia ostii seeds have recently been identified as a new source of α-linolenic acid in China. Studying the gene expression patterns of unsaturated fatty acid-related genes would be helpful for understanding the mechanism of α-linolenic acid accumulation. Quantitative real-time polymerase chain reaction (qRT-PCR) is a useful method for reliably evaluating gene expression, and it is necessary to select reliable reference genes for data normalization in qRT-PCR analysis. In this study, we evaluated the expression stability of 12 candidate reference genes using four mathematical algorithms (∆C",2020-05-18,"Gene Expression, Gene Expression Profiling, Gene Expression Regulation, Plant, Genes, Plant, Paeonia, Real-Time Polymerase Chain Reaction, Reference Standards",Mol Biol Rep,,Li
30909859,Selection of reference genes for the quantitative real-time PCR normalization of gene expression in Isatis indigotica fortune.,"Isatis indigotica, a traditional Chinese medicine, produces a variety of active ingredients. However, little is known about the key genes and corresponding expression profiling involved in the biosynthesis pathways of these ingredients. Quantitative real-time polymerase chain reaction (qRT-PCR) is a powerful, commonly-used method for gene expression analysis, but the accuracy of the quantitative data produced depends on the appropriate selection of reference genes.",2019-09-12,"Gene Expression Profiling, Gene Expression Regulation, Plant, Genes, Essential, Isatis, Real-Time Polymerase Chain Reaction, Reference Standards",BMC Mol Biol,,Qu
25481634,"Genome-wide identification and comparative expression analysis reveal a rapid expansion and functional divergence of duplicated genes in the WRKY gene family of cabbage, Brassica oleracea var. capitata.","WRKY transcription factors (TFs), one of the ten largest TF families in higher plants, play important roles in regulating plant development and resistance. To date, little is known about the WRKY TF family in Brassica oleracea. Recently, the completed genome sequence of cabbage (B. oleracea var. capitata) allows us to systematically analyze WRKY genes in this species. A total of 148 WRKY genes were characterized and classified into seven subgroups that belong to three major groups. Phylogenetic and synteny analyses revealed that the repertoire of cabbage WRKY genes was derived from a common ancestor shared with Arabidopsis thaliana. The B. oleracea WRKY genes were found to be preferentially retained after the whole-genome triplication (WGT) event in its recent ancestor, suggesting that the WGT event had largely contributed to a rapid expansion of the WRKY gene family in B. oleracea. The analysis of RNA-Seq data from various tissues (i.e., roots, stems, leaves, buds, flowers and siliques) revealed that most of the identified WRKY genes were positively expressed in cabbage, and a large portion of them exhibited patterns of differential and tissue-specific expression, demonstrating that these gene members might play essential roles in plant developmental processes. Comparative analysis of the expression level among duplicated genes showed that gene expression divergence was evidently presented among cabbage WRKY paralogs, indicating functional divergence of these duplicated WRKY genes. ",2015-04-17,"Amino Acid Sequence, Arabidopsis, Base Sequence, Brassica, DNA, Plant, Gene Duplication, Gene Expression Profiling, Gene Expression Regulation, Plant, Genes, Duplicate, Genome, Plant, Phylogeny, Plant Proteins, Sequence Analysis, DNA, Transcription Factors, Transcriptome",Gene,10.1016/j.gene.2014.12.005,Yao
32049587,Identification of Genes Underlying the Resistance to ,Identification of the particular genes in an ,2020-04-07,"Basidiomycota, Gene Expression Profiling, Genes, vpr, Plant Diseases, Populus",Plant Dis,10.1094/PDIS-08-19-1699-RE,Wei
29898658,Two divergent Symbiodinium genomes reveal conservation of a gene cluster for sunscreen biosynthesis and recently lost genes.,"The marine dinoflagellate, Symbiodinium, is a well-known photosynthetic partner for coral and other diverse, non-photosynthetic hosts in subtropical and tropical shallows, where it comprises an essential component of marine ecosystems. Using molecular phylogenetics, the genus Symbiodinium has been classified into nine major clades, A-I, and one of the reported differences among phenotypes is their capacity to synthesize mycosporine-like amino acids (MAAs), which absorb UV radiation. However, the genetic basis for this difference in synthetic capacity is unknown. To understand genetics underlying Symbiodinium diversity, we report two draft genomes, one from clade A, presumed to have been the earliest branching clade, and the other from clade C, in the terminal branch.",2018-12-11,"Amino Acids, Cyclohexanols, Dinoflagellida, Evolution, Molecular, Gene Deletion, Genes, Genome, Multigene Family, Phylogeny, Repetitive Sequences, Amino Acid, Symbiosis",BMC Genomics,,Shoguchi
