author,abstract
Zhong,"Quantitative reverse transcription polymerase chain reaction (RT-qPCR), a sensitive technique for gene expression analysis, depends on the stability of the reference genes used for data normalization under different experimental conditions. "
Zhong,"In pituitary adenoma (PA), invasiveness is the main cause of recurrence and poor prognosis. Thus, identifying specific biomarkers for diagnosis and effective treatment of invasive PAs is of great clinical significance. In this study, from the Gene Expression Omnibus database, we obtained and combined several microarrays of PA by the ""sva"" R package. Weighted gene co-expression network analysis was performed to construct a scale-free topology model and analyze the relationships between the modules and clinical traits. Our analysis results indicated that three key modules (dark turquoise, saddle brown, and steel blue) were associated with the invasiveness of PA. Kyoto Encyclopedia of Genes and Genomes pathway enrichment analysis and Gene Ontology analysis were performed for the functional annotation of the key modules. In addition, the hub genes in the three modules were identified and screened by differential expression analysis between normal samples and PA samples. Three upregulated differentially expressed genes (DGAT2, PIGZ, and DHRS2) were identified. The Fisher's exact test and receiver operating characteristic curve were used to validate the capability of these genes to distinguish invasive traits, and transcription factor interaction networks were used to further explore the underlying mechanisms of the three genes. Moreover, a lower expression level of DGAT2 in invasive PA tissue than in noninvasive PA tissue was validated by quantitative reverse transcription-polymerase chain reaction. In general, this study contributes to potential molecular biomarkers of invasive PAs and provides a broader perspective for diagnosis and new therapeutic targets for the invasive PAs."
Zhong,"Chronic rhinosinusitis with nasal polyps (CRSwNP) is a chronic inflammatory disease with relatively easy recurrence. However, the precise molecular mechanisms of this disease are poorly known. Based on gene sequencing data obtained from the Gene Expression Omnibus (GEO) database, we constructed coexpression networks by weighted gene coexpression network analysis (WGCNA). Gene Ontology (GO) and Kyoto Encyclopedia of Genes and Genomes (KEGG) enrichment analyses were performed by the Database for Annotation, Visualization, and Integrated Discovery (DAVID). The core gene of pathogenesis, CRSwNP, was screened by protein-protein interaction data (PPI) from the HPRD database. Unsupervised clustering was applied to screen hub genes related to the phenotype of CRSwNP. Blue and turquoise modules were found to be most significantly related to the pathogenicity of CRSwNP. Functional enrichment analysis showed that cell proliferation in the blue modules, the apoptotic process in the turquoise module, and the cancer pathway in both modules were mostly significantly correlated with the development of CRSwNP. The noncoding RNAs (long noncoding RNA and microRNA) and the top 10 core genes in each module were found to be associated with the pathogenesis of CRSwNP. A total of nine hub genes were identified to be related to the CRSwNP phenotype. By qRT-PCR analysis, "
Zhong,"The present study performed an integral analysis of the gene expression and DNA methylation profile of pilocytic astrocytomas (PAs). Weighted gene co-expression network analysis (WGCNA) was also performed to examine and identify the genes correlated to PAs, to identify candidate therapeutic targets for the treatment of PAs. The DNA methylation profile and gene expression profile were downloaded from the Gene Expression Omnibus database. Following screening of the differentially expressed genes (DEGs) and differentially methylated regions (DMRs), respectively, integrated analysis of the DEGs and DMRs was performed to detect their correlation. Subsequently, the WGCNA algorithm was applied to identify the significant modules and construct the co‑expression network associated with PAs. Furthermore, Gene Ontology enrichment analysis of the associated genes was performed using the Database for Annotation, Visualization and Integrated Discovery. A total number of 2,259 DEGs and 235 DMRs were screened out. Integrated analysis revealed that 30 DEGs were DMRs with prominent negative correlation (cor=‑0.82; P=0.02). Based on the DEGs, the gene co‑expression network was constructed, and nine network modules associated with PAs were identified. The functional analysis results showed that genes relevant to PAs were closely associated with cell differentiation modulation. The screened PA-associated genes were significantly different at the expression and methylation levels. These genes may be used as reliable candidate target genes for the treatment of PAs."
Zhong,"The MYB proteins comprise one of the largest transcription factor families in plants, and play key roles in regulatory networks controlling development, metabolism, and stress responses. A total of 125 MYB genes (JcMYB) have been identified in the physic nut (Jatropha curcas L.) genome, including 120 2R-type MYB, 4 3R-MYB, and 1 4R-MYB genes. Based on exon-intron arrangement of MYBs from both lower (Physcomitrella patens) and higher (physic nut, Arabidopsis, and rice) plants, we can classify plant MYB genes into ten groups (MI-X), except for MIX genes which are nonexistent in higher plants. We also observed that MVIII genes may be one of the most ancient MYB types which consist of both R2R3- and 3R-MYB genes. Most MYB genes (76.8% in physic nut) belong to the MI group which can be divided into 34 subgroups. The JcMYB genes were nonrandomly distributed on its 11 linkage groups (LGs). The expansion of MYB genes across several subgroups was observed and resulted from genome triplication of ancient dicotyledons and from both ancient and recent tandem duplication events in the physic nut genome. The expression patterns of several MYB duplicates in the physic nut showed differences in four tissues (root, stem, leaf, and seed), and 34 MYB genes responded to at least one abiotic stressor (drought, salinity, phosphate starvation, and nitrogen starvation) in leaves and/or roots based on the data analysis of digital gene expression tags. Overexpression of the JcMYB001 gene in Arabidopsis increased its sensitivity to drought and salinity stresses. "
Zheng,"The domain of unknown function (DUF) superfamily encodes proteins of unknown functions in plants. Among them, "
Zheng,"A novel Phytophthora sojae resistance gene RpsHC18 was identified and finely mapped on soybean chromosome 3. Two NBS-LRR candidate genes were identified and two diagnostic markers of RpsHC18 were developed. Phytophthora root rot caused by Phytophthora sojae is a destructive disease of soybean. The most effective disease-control strategy is to deploy resistant cultivars carrying Phytophthora-resistant Rps genes. The soybean cultivar Huachun 18 has a broad and distinct resistance spectrum to 12 P. sojae isolates. Quantitative trait loci sequencing (QTL-seq), based on the whole-genome resequencing (WGRS) of two extreme resistant and susceptible phenotype bulks from an F"
Zhao,"Pectin is a major polysaccharide component that promotes plant growth and fiber elongation in cotton. In previous studies, the galacturonosyltransferase-like (GATL) gene family has been shown to be involved in pectin synthesis. However, few studies have been performed on cotton "
Zhao,"Pectate lyase catalyses the eliminative cleavage of de-esterified pectin, which is a major component of primary cell walls in many higher plants. Pectate lyase-like (PLL) genes have been identified in various plant species and are involved in a broad range of physiological processes associated with pectin degradation. Previous studies have functionally identified two PLL genes in rice (Oryza sativa. L). However, the knowledge concerning genome-wide analysis of this family remains limited, and functions of the other PLL genes have not been thoroughly elucidated to date. In this study, we identified 12 PLL genes based on a genome-wide investigation in rice. A complete overview of this gene family is presented, including chromosomal locations, exon-intron structure, cis-acting elements and conserved motifs. PLL protein sequences from multiple plant species were compared and divided into five groups based on phylogenetic analysis. Quantitative RT-PCR analysis revealed that only a portion of OsPLL genes (4 of 12) exhibits detectable expression levels. Notably, OsPLL1, OsPLL3, OsPLL4 and OsPLL12 exhibit strong and preferential expression in panicles suggesting that the potential roles of these genes are crucial during rice panicle development. Moreover, knockdown of OsPLL3 and OsPLL4 by artificial microRNA (amiRNA) disrupted normal pollen development and resulted in partial male sterility. These results could provide valuable information for characterising the functions and dissecting the molecular mechanisms of the OsPLL genes."
Zhao,"The purpose of this study was to investigate critical genes in multiple sclerosis (MS) using microarray data from brain tissue in MS."
Zhang,"Phosphoenolpyruvate carboxylase (PEPC) family genes play important roles in regulating plant growth and abiotic stress response. Based on the sequenced Gossypium genomes, we performed comprehensive analysis of PEPC homolog genes in cotton, which six, six, eleven and ten PEPC genes were identified in Gossypium arboreum (A"
Zhang,"β-amylase (BAM) genes play essential roles in plant abiotic stress responses. Although the genome of Chinese white pear (Pyrus bretschneideri) has recently been made available, knowledge regarding the BAM family in pear, including gene function, evolutionary history and patterns of gene expression remains limited. In this study, we identified 17 PbBAMs in the pear genome. Of these, 12 PbBAM members were mapped onto 9 chromosomes and 5 PbBAM genes were located on scaffold contigs. Based on gene structure, protein motif analysis, and the topology of the phylogenetic tree of the PbBAM family, we classified member genes into 4 groups. All PbBAM genes were found to contain typical glycosyl hydrolysis 14 domain motifs. Interfamilial comparisons revealed that the phylogenetic relationships of BAM genes in other Rosaceae species were similar those found in pear. We also found that whole-genome duplication (WGD)/segmental duplication events played critical roles in the expansion of the BAM family. Next, we used transcriptomic data to study gene expression during the response of drought and low temperate responses, and found that genes in Group B were related to drought and cold stress. We identified four PbBAM genes associated with abiotic stress in Pear. Finally, by analyzing co-expression networks and co-regulatory genes, we found that PbBAM1a and PbBAM1b were associated with the pear abiotic stress response."
Zhang,"Primary cutaneous malignant melanoma is a cancer of the pigment cells of the skin, some of which are accompanied by BRAF mutation. Melanoma incidence and mortality rates have been rising around the world. As the current knowledge about pathogenesis, clinical and genetic features of cutaneous melanoma is not very clear, we aim to use bioinformatics to identify the potential key genes involved in the expression and mutation status of BRAF."
Zhang,"Elymus nutans and E. sibiricus are two important forage grasses of the genus Elymus. But they are difficult to grow for commercial seed production due to serious seed shattering. We conducted a comparative transcriptome analysis of abscission zone to find possible transcription changes associated with seed shattering, explore candidate genes involved in seed shattering and identify candidate gene-based EST-SSR markers for germplasm evaluation."
Zhang,"Teak, a member of the Lamiaceae family, produces one of the most expensive hardwoods in the world. High demand coupled with deforestation have caused a decrease in natural teak forests, and future supplies will be reliant on teak plantations. Hence, selection of teak tree varieties for clonal propagation with superior growth performance is of great importance, and access to high-quality genetic and genomic resources can accelerate the selection process by identifying genes underlying desired traits."
Zhang,"Switchgrass ("
Zhang,"Drip loss is a key aspect of meat quality. Transcriptome profiles of muscle with divergent drip loss would offer important insight into the genetic factors responsible for the trait. In this study, drip loss and other meat quality traits of 28 purebred Duroc pigs were measured, muscles of these individuals were RNA sequenced, and eight individuals with extremely low and high drip loss were selected for analyzing their transcriptome differences and identifying potential candidate genes affecting drip loss."
Zhang,"Colon adenocarcinoma (COAD) is one of the most common malignant tumors with high morbidity and mortality rates worldwide. Due to the poor clinical outcomes, it is indispensable to investigate novel biomarkers for the diagnosis and prognosis of COAD. The aim of this study is to explore key genes as potential biomarkers for the diagnosis and prognosis of COAD for clinical utility. Gene expression profiles (GSE44076 and GSE44861) and gene methylation profile (GSE29490) were analyzed to identify the aberrantly methylated-differentially expressed genes by R language and Perl software. Function enrichments were performed by Gene Ontology (GO) and Kyoto Encyclopedia of Genes and Genomes (KEGG) pathway. Moreover, hub genes were identified through protein-protein interaction (PPI) network. Besides, key genes were found by the module analysis and The Cancer Genome Atlas (TCGA) survival analysis. Finally, TCGA data and quantitative real-time polymerase chain reaction (RT-qPCR) was used to validate the key genes involved in COAD. Our study found two hypomethylation-high-expression genes (CXCL3 and CXCL8) in COAD tissues compared with the adjacent normal tissues. These results were also confirmed by RT-qPCR with 25 pairs of COAD and adjacent normal tissues. Meanwhile, low expression of the two genes was associated with poor survival in patients with COAD. CXCL3 and CXCL8 may serve as key genes in the diagnosis and prognosis for COAD."
Zhang,"Baculovirus infection impacts global gene expression in the host cell, including the expression of housekeeping genes. Evaluation of candidate reference genes during a viral infection will inform the selection of appropriate reference gene(s) for the normalization of expression data generated by Reverse Transcription Quantitative Real-timePolymerase Chain Reaction (RT-qPCR). Antheraea pernyi multicapsid nucleopolyhedrovirus (AnpeNPV) is able to infect the High Five cells (Tn-Hi5). In the present study, 10 candidate reference genes were evaluated in AnpeNPV-infected Tn-Hi5 cells. Gene expression data were analyzed using geNorm, NormFinder, BestKeeper, and RefFinder. The candidate genes were further validated as reliable reference genes for RT-qPCR by analyzing the expression of three target genes. The results of data analysis using four statistical methods showed that RPS18 was the least stable among the candidate reference genes tested. 18S rRNA and 28S rRNA were not suitable as reference genes for RT-qPCR analysis in AnpeNPV-infected Tn-Hi5 cells. Comprehensive ranking of the 10 candidate reference genes by RefFinder analysis indicated that Ann B, c45128_g1, and ACT were the top three genes. Normalization of the expression of three target genes using the candidate reference genes indicated the same expression pattern when Ann B and c45128_g1 were used as reference genes, with slight differences in the relative expression at each infection time point. Overall, Ann B and c45128_g1 were recommended to be more suitable than the most commonly used reference genes, such as ACT, GAPDH, and TUB, for RT-qPCR data normalization in AnpeNPV-infected Tn-Hi5 cells up to 48 hpi."
Zhang,"The Pacific oyster Crassostrea gigas is a dominant aquaculture species in many intertidal zones throughout the Pacific and Atlantic Oceans and can tolerate a wide range of salinity. Studying the gene expression profiles of oyster gills had found differentially expressed genes (DEGs) involved in salinity tolerance. A systematic study of cellular response to salinity stress may provide insights into the mechanism of acquired salinity tolerance. Here, weighted gene co-expression network analysis (WGCNA) was carried out using RNA-seq data from gill transcriptome in response to different salinity. A total of 25,463 genes were parsed into 22 gene modules, of which 5 gene modules were identified as salinity-related modules. Brown module was the only one significantly correlated with salinity and free amino acids (FAAs) contents, which was associated with cellular metabolism, biosynthesis of amino acids, oxidation reduction, electron transport, nitrogen compound metabolism, and others. The enriched pathways in brown module were mainly about FAAs metabolism. The other four modules were significantly correlated with certain FAAs, and were over-represented in certain salinity. These results indicated that C. gigas triggered different FAAs in different salinity stress. This study represents the first RNA-seq gene network analysis in oysters responding to different salinity stresses. These results provide a systems-level framework to help understand the complexity of cellular process in response to osmotic stress and show the function and regulated genes of different FAAs at the molecular level."
Zhang,"Prostate adenocarcinoma (PRAD) is a common malignant tumor in elderly men. Our research uses The Cancer Gene Atlas (TCGA) database to find potential related genes for predicting the prognosis of patients with PRAD."
Zhang,"Long-established protein-coding genes may lose their coding potential during evolution (""unitary gene loss""). Members of the Poaceae family are a major food source and represent an ideal model clade for plant evolution research. However, the global pattern of unitary gene loss in Poaceae genomes as well as the evolutionary fate of lost genes are still less-investigated and remain largely elusive."
Zhang,"Peucedanum praeruptorum Dunn is one of the main traditional Chinese medicines producing coumarins and plenty of literatures are focused on the biosynthesis of coumarins. Quantitative real-time reverse transcription PCR (qRT-PCR) is a widely used method in studying the biosynthesis pathway and the selection of reference genes plays a crucial role in accurate normalization. To facilitate biosynthesis study of coumarins, twelve candidate reference genes were selected from the transcriptome database of P. praeruptorum according to previous studies. Then, BestKeeper, geNoFrm and NormFinder were used for selecting stably expressed reference genes in different tissues and under various stress treatments. The results indicated that, among the twelve candidate reference genes, the SAND family protein (SAND), actin 2 (ACT2), ubiquitin-conjugating enzyme 9 (UBC9), protein phosphatase 2A gene (PP2A) and polypyrimidine tract-binding protein (PTBP1) were the most stable reference genes under different experimental treatments, while glyceraldehyde 3-phosphate dehydrogenase (GAPDH) and tubulin beta-6 (TUB6) were the least stable genes. In addition, the suitability of SAND, TIP41-like protein (TIP41), UBC9, ACT2, TUB6 and their combination as reference genes were confirmed by normalizing the expression of 1-aminocyclopropane-1-carboxylate oxidase (ACO) in different treatments. This work is the first survey of the stability of reference genes in P. praeruptorum and provides guidelines to obtain more accurate qRT-PCR results in P. praeruptorum and other plant species. "
Zhang,"The compound 2,3,5,4'-tetrahydroxy stilbene-2-O-ß-d-glucoside (THSG) synthesized by Fallopia multiflora (F. multiflora) exhibits pharmacological potency. However, the mechanistic details of its biosynthesis pathway are still vague. To clear this ambiguity, we performed de novo transcriptome assembly and digital gene expression (DGE) profiling analyses of F. multiflora using the Illumina RNA-seq system. RNA-seq generated approximately 70 million high-quality reads that were assembled into 65,653 unigenes (mean length=750 bp), including 26,670 clusters and 38,983 singletons. A total of 48,173 (73.4%) unigenes were annotated using public protein databases with a cut-off e-value above 10(-5). Furthermore, we investigated the transcriptome difference of four different F. multiflora tissues using DGE profiling. Variations in gene expression were identified based on comparisons of transcriptomes from various parts of a high-level THSG- and a low-level THSG-producing F. multiflora plant. Clusters with similar differential expression patterns and enriched metabolic pathways with regard to the differentially expressed genes putatively involved in THSG biosynthesis were revealed for the first time. Our data provides the most comprehensive sequence resource regarding F. multiflora so far. Taken together, the results of this study considerably extend the knowledge on THSG production."
Zhang,"Genome comparisons between closely related species often show non-conserved regions across chromosomes. Some of them are located in specific regions of chromosomes and some are even confined to one or more entire chromosomes. The origin and biological relevance of these non-conserved regions are still largely unknown. Here we used the genome of Fusarium graminearum to elucidate the significance of non-conserved regions."
Zhang,"The MADS-box gene family encodes transcription factors and plays an important role in plant growth and the development of flower and fruit. A perennial dioecious plant, the red bayberry genome has been published recently, providing the opportunity to analyze the MADS-box gene family and its role in fruit development and ripening. Here, we identified 54 MADS-box genes in the red bayberry genome, and classified them into two types based on phylogenetic analysis. Thirteen Type I MADS-box genes were subdivided into three subfamilies and 41 Type II MADS-box genes into 13 subfamilies. A total of 46 MADS-box genes were distributed across eight red bayberry chromosomes, and the other eight genes were located on the unmapped scaffolds. Transcriptome analysis suggested that the expression of most Type II genes was higher than Type I in five female tissues. Moreover, 26 MADS-box genes were expressed during red bayberry fruit development and ten of them showed high expression. qRT-PCR showed that the expression of MrMADS01 (SEP, MIKC"
Zhai,"Validation of suitable reference genes is critical in quantitative real-time polymerase chain reaction (qRT-PCR) analysis. Suitable and reliable reference genes for the normalization of gene expression data are characterized by high gene expression stability across tissues and different experimental conditions. This study evaluated the gene expression stability of ten reference genes commonly used in Arabidopsis thaliana for their suitability in qRT-PCR analysis in Tripterygium wilfordii Hook.f. The orthologous sequences of these ten candidate genes were identified from T. wilfordii transcriptomic data (Project No. SRX472292). Five algorithms including GeNorm, NormFinder, BestKeeper, ΔCt, and RefFinder were used to assess the gene expression stability of these putative reference genes in different plant tissues and different stress conditions. The results identified ACTINT7 and TBP as the most suitable reference genes across all samples. The gene expressions of TwHMGR (3-hydroxy-3-methylglutaryl coenzyme A reductase, KU246037.1) and of TwDXR (1-deoxy-D-xylulose-5-phosphate reductoisomerase, KJ174341.1) were investigated to validate the suitability of the reference genes. The validation analysis confirmed the suitability of ACTINT7 and TBP as the best reference genes for elucidating secondary metabolite biosynthesis pathway in T. wilfordii. In summary, this study identified the most suitable and reliable reference genes for future qRT-PCR- based studies in T. wilfordii."
Zhai,"The reliability of qRT-PCR results depend on the stability of reference genes used for normalization, suggesting the necessity of identification of reference genes before gene expression analysis. Morels are edible mushrooms well-known across the world and highly prized by many culinary kitchens. Here, several candidate genes were selected and designed according to the "
Zhai,"The purpose of our study was to identify new pathogenic genes used for exploring the pathogenesis of rheumatoid arthritis (RA). To screen pathogenic genes of RA, an integrated analysis was performed by using the microarray datasets in RA derived from the Gene Expression Omnibus (GEO) database. The functional annotation and potential pathways of differentially expressed genes (DEGs) were further discovered by Gene Ontology (GO) and Kyoto Encyclopedia of Genes and Genomes (KEGG) enrichment analysis. Afterwards, the integrated analysis of DNA methylation and gene expression profiling was used to screen crucial genes. In addition, we used RT-PCR and MSP to verify the expression levels and methylation status of these crucial genes in 20 synovial biopsy samples obtained from 10 RA model mice and 10 normal mice. BCL11B, CCDC88C, FCRLA and APOL6 were both up-regulated and hypomethylated in RA according to integrated analysis, RT-PCR and MSP verification. Four crucial genes (BCL11B, CCDC88C, FCRLA and APOL6) identified and analyzed in this study might be closely connected with the pathogenesis of RA."
Zhai,"Carex rigescens is an ornamental turfgrass in northern China which has a relatively low maintenance cost and robust tolerance to many adverse environmental conditions, so it could be considered a new material for researching into plant stress resistance. However, suitable reference genes are vacant for obtaining reliable results in quantitative real-time PCR (qRT-PCR) analysis of C. rigescens in adversity research. In this study, we tested the expression stability of nine potential reference genes in leaves and roots under five different abiotic stress conditions, including cold, salt, heat, osmotic and cadmium (Cd). We then selected the best reference genes according to the analysis results calculated by three algorithmic programs (geNorm, NormFinder and BestKeeper) and used the RankAggreg package to merge the outputted data. The results showed that combinations of at least two reference genes should be used for reliable normalization except in heat-treated root samples, which require three reference genes. eIF-4α, GADPH, SAND and PEPKR1 and their combination were found to be the most stably expressed reference genes, while SAM, TUA-α and UPL7 were the three least stable reference genes among most of experimental samples. In addition, five stress-induced genes (Cu-Zn SOD, P5CS, LEA, GST, and APX) were chosen to verify the stability of the selected reference genes in various tissues and under various stress conditions. The results of this study will provide an important fundamental basis both for gene expression verification for transcriptomic and proteomic analyses and for gene expression analysis for future gene function research in C. rigescens."
Zhai,"Infant acute lymphoblastic leukemia (ALL) with the mixed lineage leukemia ("
Zhai,"Pineapple is the most important crop with CAM photosynthesis, but its molecular biology is underexplored. MADS-box genes are crucial transcription factors involving in plant development and several biological processes. However, there is no systematic analysis of MADS-box family genes in pineapple (Ananas comosus)."
Zhai,"The Zn(II)₂Cys₆ zinc cluster gene family is a subclass of zinc-finger proteins, which are transcriptional regulators involved in a wide variety of biological processes in fungi. We performed genome-wide identification and characterization of Zn(II)₂Cys₆ zinc-cluster gene (C6 zinc gene) family in "
Zhai,"The adaptive evolution of animals to high-elevation environments has been extensively studied in vertebrates, while few studies have focused on insects. Gynaephora species (Lepidoptera: Lymantriinae) are endemic to the Qinghai-Tibetan Plateau (QTP) and represent an important insect pest of alpine meadows. Here, we present a detailed comparative analysis of the mitochondrial genomes (mitogenomes) of two Gynaephora species inhabiting different high-elevation environments: G. alpherakii and G. menyuanensis. The results indicated that the general mitogenomic features (genome size, nucleotide composition, codon usage and secondary structures of tRNAs) were well conserved between the two species. All of mitochondrial protein-coding genes were evolving under purifying selection, suggesting that selection constraints may play a role in ensuring adequate energy production. However, a number of substitutions and indels were identified that altered the protein conformations of ATP8 and NAD1, which may be the result of adaptive evolution of the two Gynaephora species to different high-elevation environments. Levels of gene expression for nine mitochondrial genes in nine different developmental stages were significantly suppressed in G. alpherakii, which lives at the higher elevation (~4800m above sea level), suggesting that gene expression patterns could be modulated by atmospheric oxygen content and environmental temperature. These results enhance our understanding of the genetic bases for the adaptive evolution of insects endemic to the QTP."
